Modèle,Score Test,Score Entrainement,Ecart-Type Test,Ecart-Type Train,Paramètres,Score Test data,Mode
Random Forest,0.939,0.949,0.007,0.008,"{'entrainement__max_depth': 9, 'entrainement__n_estimators': 20, 'imputation__strategy': 'most_frequent'}",0.9239401496259352,classification
K Neighbors,0.955,0.983,0.008,0.001,"{'entrainement__n_neighbors': 2, 'imputation__strategy': 'most_frequent'}",0.9613466334164589,classification
Réseaux de neurones,0.978,0.996,0.005,0.001,"{'entrainement__hidden_layer_sizes': (60, 60), 'entrainement__max_iter': 1000, 'entrainement__solver': 'adam', 'imputation__strategy': 'most_frequent'}",0.9825436408977556,classification
Boosting,0.976,1.0,0.006,0.0,"{'entrainement__learning_rate': 0.1, 'entrainement__n_estimators': 400, 'imputation__strategy': 'most_frequent'}",0.9812967581047382,classification
Ridge,0.977,0.984,0.004,0.002,"{'entrainement__alpha': 2, 'imputation__strategy': 'mean'}",0.9812967581047382,classification
Support Vector,0.981,0.991,0.005,0.001,"{'entrainement__C': 3.281341424030552, 'imputation__strategy': 'most_frequent'}",0.983790523690773,classification
