Modèles,Régression,Classification
Random Forest,23.396106315279283,0.9301745635910225
Boosting,23.96356563931688,0.9812967581047382
K Neighbors,26.138695448877804,0.9600997506234414
Réseaux de neurones,27.974087065731595,0.9788029925187033
Ridge,29.680756366932503,0.9812967581047382
Support Vector,21.9144344019372,0.983790523690773
